row_count,gb_char,utf_bytes,unicode_id,unknown
1601,啊,B0A1,554A,E5958A
1602,阿,B0A2,963F,E998BF
1603,埃,B0A3,57C3,E59F83
1604,挨,B0A4,6328,E68CA8
1605,哎,B0A5,54CE,E5938E
1606,唉,B0A6,5509,E59489
1607,哀,B0A7,54C0,E59380
1608,皑,B0A8,7691,E79A91
1609,癌,B0A9,764C,E7998C
1610,蔼,B0AA,853C,E894BC
1611,矮,B0AB,77EE,E79FAE
1612,艾,B0AC,827E,E889BE
1613,碍,B0AD,788D,E7A28D
1614,爱,B0AE,7231,E788B1
1615,隘,B0AF,9698,E99A98
1616,鞍,B0B0,978D,E99E8D
1617,氨,B0B1,6C28,E6B0A8
1618,安,B0B2,5B89,E5AE89
1619,俺,B0B3,4FFA,E4BFBA
1620,按,B0B4,6309,E68C89
1621,暗,B0B5,6697,E69A97
1622,岸,B0B6,5CB8,E5B2B8
1623,胺,B0B7,80FA,E883BA
1624,案,B0B8,6848,E6A188
1625,肮,B0B9,80AE,E882AE
1626,昂,B0BA,6602,E69882
1627,盎,B0BB,76CE,E79B8E
1628,凹,B0BC,51F9,E587B9
1629,敖,B0BD,6556,E69596
1630,熬,B0BE,71AC,E786AC
1631,翱,B0BF,7FF1,E7BFB1
1632,袄,B0C0,8884,E8A284
1633,傲,B0C1,50B2,E582B2
1634,奥,B0C2,5965,E5A5A5
1635,懊,B0C3,61CA,E6878A
1636,澳,B0C4,6FB3,E6BEB3
1637,芭,B0C5,82AD,E88AAD
1638,捌,B0C6,634C,E68D8C
1639,扒,B0C7,6252,E68992
1640,叭,B0C8,53ED,E58FAD
1641,吧,B0C9,5427,E590A7
1642,笆,B0CA,7B06,E7AC86
1643,八,B0CB,516B,E585AB
1644,疤,B0CC,75A4,E796A4
1645,巴,B0CD,5DF4,E5B7B4
1646,拔,B0CE,62D4,E68B94
1647,跋,B0CF,8DCB,E8B78B
1648,靶,B0D0,9776,E99DB6
1649,把,B0D1,628A,E68A8A
1650,耙,B0D2,8019,E88099
1651,坝,B0D3,575D,E59D9D
1652,霸,B0D4,9738,E99CB8
1653,罢,B0D5,7F62,E7BDA2
1654,爸,B0D6,7238,E788B8
1655,白,B0D7,767D,E799BD
